Sacramento @ Cleveland,7:30 PM,Rocket Mortgage FieldHouse
Detroit @ Memphis,8:00 PM,FedExForum
Phoenix @ New Orleans,8:30 PM,Smoothie King Center
Minnesota @ Utah,9:00 PM,Vivint Arena
Milwaukee @ Dallas,10:00 PM,American Airlines Center
Sat Dec 10,Time,Location
San Antonio @ Miami,5:00 PM,FTX Arena
Brooklyn @ Indiana,7:00 PM,Gainbridge Fieldhouse
LA Clippers @ Washington,7:00 PM,Capital One Arena
Okla City @ Cleveland,7:30 PM,Rocket Mortgage FieldHouse
Dallas @ Chicago,8:00 PM,United Center
Boston @ Golden State,8:30 PM,Chase Center
Utah @ Denver,9:00 PM,Ball Arena
Minnesota @ Portland,10:00 PM,Moda Center
Sun Dec 11,Time,Location
Phoenix @ New Orleans,3:30 PM,Smoothie King Center
Sacramento @ New York,6:00 PM,Madison Square Garden
LA Lakers @ Detroit,6:00 PM,Little Caesars Arena
Charlotte @ Philadelphia,6:00 PM,Wells Fargo Center
Toronto @ Orlando,6:00 PM,Amway Center
Chicago @ Atlanta,6:30 PM,State Farm Arena
Milwaukee @ Houston,7:00 PM,Toyota Center
Mon Dec 12,Time,Location
Miami @ Indiana,7:00 PM,Gainbridge Fieldhouse
Brooklyn @ Washington,7:00 PM,Capital One Arena
Atlanta @ Memphis,8:00 PM,FedExForum
Okla City @ Dallas,8:30 PM,American Airlines Center
Cleveland @ San Antonio,8:30 PM,AT&T Center
Minnesota @ Portland,10:00 PM,Moda Center
Boston @ LA Clippers,10:30 PM,Crypto.com Arena
Tue Dec 13,Time,Location
Sacramento @ Philadelphia,7:00 PM,Wells Fargo Center
Golden State @ Milwaukee,7:30 PM,Fiserv Forum
Phoenix @ Houston,8:00 PM,Toyota Center
New Orleans @ Utah,9:00 PM,Vivint Arena
Boston @ LA Lakers,10:00 PM,Crypto.com Arena
Wed Dec 14,Time,Location
Golden State @ Indiana,7:00 PM,Gainbridge Fieldhouse
Detroit @ Charlotte,7:00 PM,Spectrum Center
Atlanta @ Orlando,7:00 PM,Amway Center
Sacramento @ Toronto,7:30 PM,Scotiabank Arena
New York @ Chicago,7:30 PM,United Center
Miami @ Okla City,8:00 PM,Paycom Center
Portland @ San Antonio,8:00 PM,AT&T Center
Cleveland @ Dallas,9:00 PM,American Airlines Center
Washington @ Denver,9:00 PM,Ball Arena
Minnesota @ LA Clippers,10:00 PM,Crypto.com Arena
Thu Dec 15,Time,Location
Miami @ Houston,8:00 PM,Toyota Center
Milwaukee @ Memphis,8:00 PM,FedExForum
New Orleans @ Utah,9:00 PM,Vivint Arena
Phoenix @ LA Clippers,10:30 PM,Crypto.com Arena
Fri Dec 16,Time,Location
Atlanta @ Charlotte,7:00 PM,Spectrum Center
Sacramento @ Detroit,7:00 PM,Little Caesars Arena
Orlando @ Boston,7:30 PM,TD Garden
Indiana @ Cleveland,7:30 PM,Rocket Mortgage FieldHouse
Golden State @ Philadelphia,7:30 PM,Wells Fargo Center
Brooklyn @ Toronto,7:30 PM,Scotiabank Arena
New York @ Chicago,8:00 PM,United Center
Minnesota @ Okla City,8:00 PM,Paycom Center
Portland @ Dallas,8:30 PM,American Airlines Center
Denver @ LA Lakers,10:00 PM,Crypto.com Arena
Sat Dec 17,Time,Location
Washington @ LA Clippers,4:00 PM,Crypto.com Arena
Miami vs. San Antonio,5:00 PM,Mexico City Arena
Dallas @ Cleveland,8:00 PM,Rocket Mortgage FieldHouse
Portland @ Houston,8:00 PM,Toyota Center
Utah @ Milwaukee,8:00 PM,Fiserv Forum
Memphis @ Okla City,8:00 PM,Paycom Center
New Orleans @ Phoenix,9:00 PM,Footprint Center
Sun Dec 18,Time,Location
Orlando @ Boston,3:00 PM,TD Garden
New York @ Indiana,5:00 PM,Gainbridge Fieldhouse
Brooklyn @ Detroit,6:00 PM,Little Caesars Arena
Golden State @ Toronto,6:00 PM,Scotiabank Arena
Chicago @ Minnesota,7:00 PM,Target Center
Charlotte @ Denver,8:00 PM,Ball Arena
Washington @ LA Lakers,9:30 PM,Crypto.com Arena
Mon Dec 19,Time,Location
Toronto @ Philadelphia,7:00 PM,Wells Fargo Center
Utah @ Cleveland,7:00 PM,Rocket Mortgage FieldHouse
Orlando @ Atlanta,7:30 PM,State Farm Arena
San Antonio @ Houston,8:00 PM,Toyota Center
Milwaukee @ New Orleans,8:00 PM,Smoothie King Center
Portland @ Okla City,8:00 PM,Paycom Center
Dallas @ Minnesota,8:00 PM,Target Center
LA Lakers @ Phoenix,9:00 PM,Footprint Center
Charlotte @ Sacramento,10:00 PM,Golden 1 Center
Tue Dec 20,Time,Location
Utah @ Detroit,7:00 PM,Little Caesars Arena
Chicago @ Miami,7:30 PM,FTX Arena
Golden State @ New York,7:30 PM,Madison Square Garden
Washington @ Phoenix,9:00 PM,Footprint Center
Memphis @ Denver,10:00 PM,Ball Arena
Wed Dec 21,Time,Location
Milwaukee @ Cleveland,7:00 PM,Rocket Mortgage FieldHouse
Detroit @ Philadelphia,7:00 PM,Wells Fargo Center
Indiana @ Boston,7:30 PM,TD Garden
Chicago @ Atlanta,7:30 PM,State Farm Arena
Toronto @ New York,7:30 PM,Madison Square Garden
Golden State @ Brooklyn,7:30 PM,Barclays Center
Dallas @ Minnesota,8:00 PM,Target Center
Orlando @ Houston,8:00 PM,Toyota Center
Portland @ Okla City,8:00 PM,Paycom Center
LA Lakers @ Sacramento,10:00 PM,Golden 1 Center
Charlotte @ LA Clippers,10:30 PM,Crypto.com Arena
Thu Dec 22,Time,Location
San Antonio @ New Orleans,8:00 PM,Smoothie King Center
Washington @ Utah,9:00 PM,Vivint Arena
Fri Dec 23,Time,Location
San Antonio @ Orlando,7:00 PM,Amway Center
LA Clippers @ Philadelphia,7:00 PM,Wells Fargo Center
Detroit @ Atlanta,7:30 PM,State Farm Arena
Minnesota @ Boston,7:30 PM,TD Garden
Chicago @ New York,7:30 PM,Madison Square Garden
Milwaukee @ Brooklyn,7:30 PM,Barclays Center
Toronto @ Cleveland,7:30 PM,Rocket Mortgage FieldHouse
